Customer_ID,AI_Repayment_Score,AI_Status_Prediction,AI_Expected_Days
CUST00001,0.0,Likely to Default,82
CUST00002,100.0,Likely to Repay,363
CUST00003,0.0,Likely to Default,266
CUST00004,100.0,Likely to Repay,88
CUST00005,2.0,Likely to Default,166
CUST00006,0.0,Likely to Default,79
CUST00007,0.0,Likely to Default,83
CUST00008,99.0,Likely to Repay,356
CUST00009,100.0,Likely to Repay,356
CUST00010,0.0,Likely to Default,180
CUST00011,100.0,Likely to Repay,262
CUST00012,0.0,Likely to Default,360
CUST00013,0.0,Likely to Default,362
CUST00014,0.0,Likely to Default,266
CUST00015,1.0,Likely to Default,83
CUST00016,1.0,Likely to Default,182
CUST00017,99.0,Likely to Repay,176
CUST00018,0.0,Likely to Default,82
CUST00019,100.0,Likely to Repay,279
CUST00020,100.0,Likely to Repay,276
CUST00021,0.0,Likely to Default,358
CUST00022,0.0,Likely to Default,270
CUST00023,2.0,Likely to Default,174
CUST00024,99.0,Likely to Repay,167
CUST00025,5.0,Likely to Default,175
CUST00026,2.0,Likely to Default,268
CUST00027,100.0,Likely to Repay,82
CUST00028,1.0,Likely to Default,176
CUST00029,0.0,Likely to Default,178
CUST00030,0.0,Likely to Default,81
CUST00031,0.0,Likely to Default,358
CUST00032,2.0,Likely to Default,267
CUST00033,100.0,Likely to Repay,172
CUST00034,1.0,Likely to Default,266
CUST00035,99.0,Likely to Repay,177
CUST00036,0.0,Likely to Default,169
CUST00037,0.0,Likely to Default,360
CUST00038,1.0,Likely to Default,74
CUST00039,100.0,Likely to Repay,83
CUST00040,0.0,Likely to Default,88
CUST00041,0.0,Likely to Default,357
CUST00042,0.0,Likely to Default,363
CUST00043,2.0,Likely to Default,89
CUST00044,99.0,Likely to Repay,265
CUST00045,100.0,Likely to Repay,276
CUST00046,99.0,Likely to Repay,354
CUST00047,100.0,Likely to Repay,274
CUST00048,96.0,Likely to Repay,81
CUST00049,0.0,Likely to Default,176
CUST00050,1.0,Likely to Default,268
CUST00051,0.0,Likely to Default,92
CUST00052,100.0,Likely to Repay,94
CUST00053,100.0,Likely to Repay,80
CUST00054,2.0,Likely to Default,269
CUST00055,100.0,Likely to Repay,185
CUST00056,0.0,Likely to Default,267
CUST00057,98.0,Likely to Repay,89
CUST00058,0.0,Likely to Default,89
CUST00059,100.0,Likely to Repay,88
CUST00060,0.0,Likely to Default,359
CUST00061,100.0,Likely to Repay,261
CUST00062,0.0,Likely to Default,170
CUST00063,0.0,Likely to Default,270
CUST00064,100.0,Likely to Repay,97
CUST00065,2.0,Likely to Default,76
CUST00066,100.0,Likely to Repay,355
CUST00067,0.0,Likely to Default,89
CUST00068,0.0,Likely to Default,268
CUST00069,0.0,Likely to Default,270
CUST00070,0.0,Likely to Default,269
CUST00071,2.0,Likely to Default,88
CUST00072,0.0,Likely to Default,358
CUST00073,0.0,Likely to Default,271
CUST00074,0.0,Likely to Default,182
CUST00075,2.0,Likely to Default,182
CUST00076,2.0,Likely to Default,178
CUST00077,0.0,Likely to Default,266
CUST00078,0.0,Likely to Default,361
CUST00079,0.0,Likely to Default,85
CUST00080,2.0,Likely to Default,360
CUST00081,0.0,Likely to Default,80
CUST00082,2.0,Likely to Default,88
CUST00083,95.0,Likely to Repay,81
CUST00084,1.0,Likely to Default,93
CUST00085,0.0,Likely to Default,268
CUST00086,0.0,Likely to Default,176
CUST00087,0.0,Likely to Default,271
CUST00088,0.0,Likely to Default,356
CUST00089,0.0,Likely to Default,92
CUST00090,0.0,Likely to Default,268
CUST00091,2.0,Likely to Default,270
CUST00092,1.0,Likely to Default,268
CUST00093,100.0,Likely to Repay,91
CUST00094,1.0,Likely to Default,68
CUST00095,0.0,Likely to Default,74
CUST00096,0.0,Likely to Default,268
CUST00097,2.0,Likely to Default,271
CUST00098,3.0,Likely to Default,357
CUST00099,100.0,Likely to Repay,177
CUST00100,90.0,Likely to Repay,181
CUST00101,98.0,Likely to Repay,93
CUST00102,100.0,Likely to Repay,183
CUST00103,1.0,Likely to Default,82
CUST00104,0.0,Likely to Default,78
CUST00105,0.0,Likely to Default,270
CUST00106,0.0,Likely to Default,173
CUST00107,1.0,Likely to Default,356
CUST00108,96.0,Likely to Repay,96
CUST00109,0.0,Likely to Default,80
CUST00110,1.0,Likely to Default,358
CUST00111,100.0,Likely to Repay,186
CUST00112,98.0,Likely to Repay,354
CUST00113,0.0,Likely to Default,181
CUST00114,2.0,Likely to Default,171
CUST00115,0.0,Likely to Default,171
CUST00116,92.0,Likely to Repay,182
CUST00117,99.0,Likely to Repay,174
CUST00118,100.0,Likely to Repay,184
CUST00119,97.0,Likely to Repay,73
CUST00120,99.0,Likely to Repay,261
CUST00121,1.0,Likely to Default,82
CUST00122,0.0,Likely to Default,90
CUST00123,1.0,Likely to Default,357
CUST00124,0.0,Likely to Default,274
CUST00125,0.0,Likely to Default,270
CUST00126,0.0,Likely to Default,266
CUST00127,2.0,Likely to Default,177
CUST00128,99.0,Likely to Repay,182
CUST00129,0.0,Likely to Default,176
CUST00130,0.0,Likely to Default,85
CUST00131,100.0,Likely to Repay,265
CUST00132,0.0,Likely to Default,265
CUST00133,100.0,Likely to Repay,94
CUST00134,0.0,Likely to Default,176
CUST00135,2.0,Likely to Default,360
CUST00136,2.0,Likely to Default,272
CUST00137,1.0,Likely to Default,92
CUST00138,3.0,Likely to Default,180
CUST00139,0.0,Likely to Default,79
CUST00140,100.0,Likely to Repay,356
CUST00141,0.0,Likely to Default,362
CUST00142,5.0,Likely to Default,181
CUST00143,0.0,Likely to Default,73
CUST00144,100.0,Likely to Repay,170
CUST00145,2.0,Likely to Default,85
CUST00146,1.0,Likely to Default,89
CUST00147,1.0,Likely to Default,362
CUST00148,0.0,Likely to Default,74
CUST00149,3.0,Likely to Default,79
CUST00150,2.0,Likely to Default,359
CUST00151,0.0,Likely to Default,273
CUST00152,1.0,Likely to Default,267
CUST00153,1.0,Likely to Default,272
CUST00154,1.0,Likely to Default,269
CUST00155,100.0,Likely to Repay,97
CUST00156,96.0,Likely to Repay,265
CUST00157,100.0,Likely to Repay,277
CUST00158,1.0,Likely to Default,89
CUST00159,1.0,Likely to Default,271
CUST00160,0.0,Likely to Default,267
CUST00161,98.0,Likely to Repay,171
CUST00162,0.0,Likely to Default,269
CUST00163,100.0,Likely to Repay,178
CUST00164,0.0,Likely to Default,271
CUST00165,99.0,Likely to Repay,83
CUST00166,0.0,Likely to Default,268
CUST00167,0.0,Likely to Default,362
CUST00168,100.0,Likely to Repay,90
CUST00169,100.0,Likely to Repay,274
CUST00170,0.0,Likely to Default,272
CUST00171,98.0,Likely to Repay,97
CUST00172,0.0,Likely to Default,362
CUST00173,1.0,Likely to Default,88
CUST00174,6.0,Likely to Default,363
CUST00175,99.0,Likely to Repay,88
CUST00176,1.0,Likely to Default,84
CUST00177,1.0,Likely to Default,179
CUST00178,0.0,Likely to Default,175
CUST00179,100.0,Likely to Repay,82
CUST00180,1.0,Likely to Default,179
CUST00181,0.0,Likely to Default,273
CUST00182,99.0,Likely to Repay,270
CUST00183,1.0,Likely to Default,269
CUST00184,1.0,Likely to Default,181
CUST00185,100.0,Likely to Repay,176
CUST00186,99.0,Likely to Repay,265
CUST00187,99.0,Likely to Repay,94
CUST00188,1.0,Likely to Default,271
CUST00189,0.0,Likely to Default,181
CUST00190,100.0,Likely to Repay,354
CUST00191,100.0,Likely to Repay,274
CUST00192,100.0,Likely to Repay,278
CUST00193,100.0,Likely to Repay,184
CUST00194,97.0,Likely to Repay,173
CUST00195,0.0,Likely to Default,170
CUST00196,1.0,Likely to Default,175
CUST00197,96.0,Likely to Repay,260
CUST00198,99.0,Likely to Repay,181
CUST00199,97.0,Likely to Repay,365
CUST00200,0.0,Likely to Default,92
CUST00201,1.0,Likely to Default,163
CUST00202,0.0,Likely to Default,171
CUST00203,100.0,Likely to Repay,263
CUST00204,0.0,Likely to Default,93
CUST00205,99.0,Likely to Repay,82
CUST00206,0.0,Likely to Default,80
CUST00207,1.0,Likely to Default,182
CUST00208,0.0,Likely to Default,273
CUST00209,1.0,Likely to Default,273
CUST00210,100.0,Likely to Repay,186
CUST00211,99.0,Likely to Repay,77
CUST00212,98.0,Likely to Repay,82
CUST00213,100.0,Likely to Repay,269
CUST00214,98.0,Likely to Repay,357
CUST00215,0.0,Likely to Default,182
CUST00216,0.0,Likely to Default,359
CUST00217,0.0,Likely to Default,359
CUST00218,100.0,Likely to Repay,85
CUST00219,0.0,Likely to Default,355
CUST00220,98.0,Likely to Repay,189
CUST00221,100.0,Likely to Repay,274
CUST00222,100.0,Likely to Repay,183
CUST00223,0.0,Likely to Default,182
CUST00224,0.0,Likely to Default,176
CUST00225,1.0,Likely to Default,180
CUST00226,0.0,Likely to Default,359
CUST00227,0.0,Likely to Default,79
CUST00228,0.0,Likely to Default,268
CUST00229,1.0,Likely to Default,73
CUST00230,1.0,Likely to Default,362
CUST00231,0.0,Likely to Default,80
CUST00232,0.0,Likely to Default,79
CUST00233,2.0,Likely to Default,360
CUST00234,0.0,Likely to Default,82
CUST00235,100.0,Likely to Repay,271
CUST00236,100.0,Likely to Repay,355
CUST00237,100.0,Likely to Repay,273
CUST00238,4.0,Likely to Default,87
CUST00239,1.0,Likely to Default,179
CUST00240,1.0,Likely to Default,177
CUST00241,1.0,Likely to Default,362
CUST00242,2.0,Likely to Default,180
CUST00243,2.0,Likely to Default,180
CUST00244,2.0,Likely to Default,164
CUST00245,0.0,Likely to Default,354
CUST00246,0.0,Likely to Default,274
CUST00247,0.0,Likely to Default,181
CUST00248,99.0,Likely to Repay,355
CUST00249,100.0,Likely to Repay,276
CUST00250,1.0,Likely to Default,358
CUST00251,98.0,Likely to Repay,186
CUST00252,100.0,Likely to Repay,183
CUST00253,1.0,Likely to Default,88
CUST00254,1.0,Likely to Default,88
CUST00255,0.0,Likely to Default,84
CUST00256,0.0,Likely to Default,271
CUST00257,99.0,Likely to Repay,352
CUST00258,100.0,Likely to Repay,265
CUST00259,0.0,Likely to Default,82
CUST00260,0.0,Likely to Default,88
CUST00261,0.0,Likely to Default,176
CUST00262,0.0,Likely to Default,266
CUST00263,100.0,Likely to Repay,187
CUST00264,1.0,Likely to Default,170
CUST00265,0.0,Likely to Default,360
CUST00266,1.0,Likely to Default,82
CUST00267,0.0,Likely to Default,171
CUST00268,0.0,Likely to Default,182
CUST00269,98.0,Likely to Repay,78
CUST00270,0.0,Likely to Default,95
CUST00271,100.0,Likely to Repay,366
CUST00272,0.0,Likely to Default,362
CUST00273,0.0,Likely to Default,177
CUST00274,98.0,Likely to Repay,174
CUST00275,98.0,Likely to Repay,179
CUST00276,3.0,Likely to Default,270
CUST00277,99.0,Likely to Repay,358
CUST00278,100.0,Likely to Repay,171
CUST00279,1.0,Likely to Default,83
CUST00280,100.0,Likely to Repay,354
CUST00281,0.0,Likely to Default,359
CUST00282,99.0,Likely to Repay,187
CUST00283,2.0,Likely to Default,267
CUST00284,1.0,Likely to Default,175
CUST00285,95.0,Likely to Repay,278
CUST00286,98.0,Likely to Repay,271
CUST00287,100.0,Likely to Repay,98
CUST00288,100.0,Likely to Repay,184
CUST00289,0.0,Likely to Default,265
CUST00290,1.0,Likely to Default,361
CUST00291,0.0,Likely to Default,171
CUST00292,0.0,Likely to Default,274
CUST00293,1.0,Likely to Default,358
CUST00294,0.0,Likely to Default,82
CUST00295,0.0,Likely to Default,80
CUST00296,0.0,Likely to Default,172
CUST00297,1.0,Likely to Default,174
CUST00298,1.0,Likely to Default,164
CUST00299,1.0,Likely to Default,167
CUST00300,95.0,Likely to Repay,167
CUST00301,97.0,Likely to Repay,265
CUST00302,1.0,Likely to Default,358
CUST00303,0.0,Likely to Default,177
CUST00304,1.0,Likely to Default,358
CUST00305,1.0,Likely to Default,271
CUST00306,0.0,Likely to Default,267
CUST00307,1.0,Likely to Default,269
CUST00308,0.0,Likely to Default,181
CUST00309,0.0,Likely to Default,93
CUST00310,100.0,Likely to Repay,93
CUST00311,0.0,Likely to Default,178
CUST00312,2.0,Likely to Default,172
CUST00313,0.0,Likely to Default,176
CUST00314,0.0,Likely to Default,272
CUST00315,100.0,Likely to Repay,89
CUST00316,100.0,Likely to Repay,89
CUST00317,100.0,Likely to Repay,367
CUST00318,1.0,Likely to Default,363
CUST00319,100.0,Likely to Repay,99
CUST00320,99.0,Likely to Repay,92
CUST00321,98.0,Likely to Repay,270
CUST00322,98.0,Likely to Repay,351
CUST00323,0.0,Likely to Default,170
CUST00324,99.0,Likely to Repay,263
CUST00325,100.0,Likely to Repay,350
CUST00326,0.0,Likely to Default,177
CUST00327,98.0,Likely to Repay,175
CUST00328,100.0,Likely to Repay,97
CUST00329,0.0,Likely to Default,91
CUST00330,0.0,Likely to Default,174
CUST00331,100.0,Likely to Repay,180
CUST00332,96.0,Likely to Repay,91
CUST00333,1.0,Likely to Default,73
CUST00334,0.0,Likely to Default,85
CUST00335,99.0,Likely to Repay,85
CUST00336,98.0,Likely to Repay,365
CUST00337,1.0,Likely to Default,88
CUST00338,1.0,Likely to Default,265
CUST00339,0.0,Likely to Default,273
CUST00340,0.0,Likely to Default,268
CUST00341,99.0,Likely to Repay,89
CUST00342,0.0,Likely to Default,174
CUST00343,0.0,Likely to Default,168
CUST00344,1.0,Likely to Default,356
CUST00345,0.0,Likely to Default,82
CUST00346,1.0,Likely to Default,269
CUST00347,98.0,Likely to Repay,179
CUST00348,100.0,Likely to Repay,99
CUST00349,99.0,Likely to Repay,273
CUST00350,0.0,Likely to Default,270
CUST00351,2.0,Likely to Default,267
CUST00352,100.0,Likely to Repay,267
CUST00353,2.0,Likely to Default,268
CUST00354,0.0,Likely to Default,363
CUST00355,100.0,Likely to Repay,265
CUST00356,99.0,Likely to Repay,354
CUST00357,99.0,Likely to Repay,261
CUST00358,1.0,Likely to Default,266
CUST00359,1.0,Likely to Default,271
CUST00360,0.0,Likely to Default,268
CUST00361,99.0,Likely to Repay,359
CUST00362,1.0,Likely to Default,82
CUST00363,0.0,Likely to Default,175
CUST00364,99.0,Likely to Repay,361
CUST00365,99.0,Likely to Repay,351
CUST00366,100.0,Likely to Repay,368
CUST00367,2.0,Likely to Default,83
CUST00368,2.0,Likely to Default,176
CUST00369,1.0,Likely to Default,75
CUST00370,3.0,Likely to Default,182
CUST00371,100.0,Likely to Repay,171
CUST00372,0.0,Likely to Default,179
CUST00373,0.0,Likely to Default,91
CUST00374,0.0,Likely to Default,176
CUST00375,100.0,Likely to Repay,278
CUST00376,96.0,Likely to Repay,353
CUST00377,0.0,Likely to Default,174
CUST00378,76.0,Likely to Repay,352
CUST00379,0.0,Likely to Default,89
CUST00380,3.0,Likely to Default,79
CUST00381,0.0,Likely to Default,267
CUST00382,100.0,Likely to Repay,184
CUST00383,1.0,Likely to Default,360
CUST00384,98.0,Likely to Repay,354
CUST00385,99.0,Likely to Repay,365
CUST00386,1.0,Likely to Default,83
CUST00387,0.0,Likely to Default,176
